tweet_id,favorite_count,retweet_count,source,retweeted_status,expanded_urls
712438159032893441,5062,1481,,Original tweet,https://t.co/7zjEC501Ul
712309440758808576,225,25,,Original tweet,https://t.co/kJIMNyMNKV
712097430750289920,3602,979,,Original tweet,https://t.co/8AGcQ4hIfK
712092745624633345,2810,845,,Original tweet,https://t.co/tA0ZiQ7JcG
712085617388212225,3120,463,,Original tweet,https://t.co/yagmFdKlyL
712065007010385924,2144,590,,Original tweet,https://t.co/o2GvskrhHt
711998809858043904,0,123,,Error,-
711968124745228288,7668,2179,,Original tweet,https://t.co/2e6cUtKUuc
711743778164514816,2713,940,,Original tweet,https://t.co/QcSIRDpfVg
711732680602345472,8384,3850,,Original tweet,https://t.co/1KiuZqqOD4
711694788429553666,31289,17316,,Original tweet,https://t.co/Ezu6jQrKAZ
711652651650457602,3677,858,,Original tweet,https://t.co/Sk3CbhmKSW
711363825979756544,3456,1074,,Original tweet,https://t.co/nJIXSPfedK
711306686208872448,3148,703,,Original tweet,https://t.co/wcwoGOkZvz
711008018775851008,2856,578,,Original tweet,https://t.co/68iNM7B5gW
710997087345876993,4366,1315,,Original tweet,https://t.co/Mv37BHEyyD
710844581445812225,2429,647,,Original tweet,https://t.co/UgkTw7TKyM
710833117892898816,2557,503,,Original tweet,https://t.co/PmTR4kxZkq
710658690886586372,2205,532,,Original tweet,https://t.co/0eb7R1Om12
710609963652087808,4571,2258,,Original tweet,https://t.co/DU7Rb3NDiy
710588934686908417,4322,1760,,Original tweet,https://t.co/kzMVMU8HBV
710296729921429505,2271,696,,Original tweet,https://t.co/VmtzwAuotq
710283270106132480,2064,494,,Original tweet,https://t.co/ONuBILIYXZ
710272297844797440,4313,1184,,Original tweet,https://t.co/odfLzBonG2
710269109699739648,2288,1057,,Original tweet,https://t.co/OcCDb2bng5
710153181850935296,2779,847,,Original tweet,https://t.co/fG5Pk3Et1I
710140971284037632,2623,838,,Original tweet,https://t.co/nLuPY3pY12
710117014656950272,5203,1872,,Original tweet,https://t.co/h1OX2mLtxV
709918798883774466,3339,1025,,Original tweet,https://t.co/R1gLc5vDqG
709901256215666688,638,97,,Original tweet,https://t.co/k5xsufRKYm https://t.co/ShXk46V13r
709852847387627521,3343,1136,,Original tweet,https://t.co/BNdVZEHRow
709566166965075968,3379,1133,,Original tweet,https://t.co/E9jaU59bh9
709556954897764353,3126,1013,,Original tweet,https://t.co/ijJB0DuOIC
709519240576036864,1432,225,,Original tweet,https://t.co/aczGAV2dK4
709449600415961088,2104,541,,Original tweet,https://t.co/c6af6nYEPo
709409458133323776,2521,644,,Original tweet,https://t.co/Yu0K98VZ9A
709225125749587968,2291,541,,Original tweet,https://t.co/k6fEWHSALn
709207347839836162,11903,5440,,Original tweet,https://t.co/qcZDZGCapg
709198395643068416,2342,610,,Original tweet,https://t.co/sedre1ivTK
709179584944730112,1924,634,,Original tweet,https://t.co/CLe9ETEjeF
709158332880297985,1945,385,,Original tweet,https://t.co/FjAj3ggXrR
709042156699303936,4507,1543,,Original tweet,https://t.co/7BkkVNu5pd
708853462201716736,1723,623,,Original tweet,https://t.co/RXjEwpVJf0
708845821941387268,2834,848,,Original tweet,https://t.co/5DLJB4ssvI
708834316713893888,1607,474,,Original tweet,https://t.co/Vd2FqHIIGn
708810915978854401,15730,6522,,Original tweet,https://t.co/2KcuJXL2r4
708738143638450176,2634,773,,Original tweet,https://t.co/wsCB6LFNxD
708711088997666817,2414,674,,Original tweet,https://t.co/Ah7WlYTUBQ
708479650088034305,2430,646,,Original tweet,https://t.co/uC8kUqAz0W
708469915515297792,2956,769,,Original tweet,https://t.co/VwDc6PTDzk
708400866336894977,15187,9486,,Original tweet,https://t.co/xdNNEZdGJY
708356463048204288,3412,1251,,Original tweet,https://t.co/oSuEGw0BhX
708349470027751425,2249,701,,Original tweet,https://t.co/tK7a0AxQfd
708149363256774660,4112,1472,,Original tweet,https://t.co/VEFkvWCoHF
708130923141795840,3219,811,,Original tweet,https://t.co/XKhobeGuvT
708119489313951744,2569,928,,Original tweet,https://t.co/kDamUfeIpm
708109389455101952,1872,529,,Original tweet,https://t.co/mhPSADiJmZ
708026248782585858,4194,1819,,Original tweet,https://t.co/5AJs8TIV1U
707995814724026368,2982,1067,,Original tweet,https://t.co/NiQQWzIzzq
707983188426153984,49,2,,Original tweet,)
707969809498152960,2565,907,,Original tweet,https://t.co/dGoTWNfIsm
707776935007539200,3135,907,,Original tweet,https://t.co/DB8fyeDs8B
707741517457260545,2375,579,,Original tweet,https://t.co/0nMgoue8IR
707738799544082433,3893,2312,,Original tweet,https://t.co/2vRmkkOLcN
707693576495472641,3237,945,,Original tweet,https://t.co/84L4ED9Tpi
707629649552134146,2450,820,,Original tweet,https://t.co/NL2KwOioBh
707610948723478529,16201,5979,,Original tweet,https://t.co/oHKJHghrp5
707420581654872064,2151,663,,Original tweet,https://t.co/xOrUyj7K30
707411934438625280,2197,567,,Original tweet,https://t.co/uQsCJ8pf51
707387676719185920,3336,1201,,Original tweet,https://t.co/XP5o7zGn0E
707377100785885184,3112,1023,,Original tweet,https://t.co/iKThgKnW1j
707315916783140866,2362,600,,Original tweet,https://t.co/BjpOa52jQ4
707297311098011648,2664,740,,Original tweet,https://t.co/B6dmZmJBdK
707059547140169728,2482,638,,Original tweet,https://t.co/D7rorf4YKL
707038192327901184,2087,746,,Original tweet,https://t.co/z0cs7E4Xjj
707021089608753152,3900,1277,,Original tweet,https://t.co/gHtW5cgyy7
707014260413456384,2207,565,,Original tweet,https://t.co/15yCmd43zU
706904523814649856,13917,7426,,Original tweet,https://t.co/3PoKf6cw7f
706901761596989440,1949,548,,Original tweet,https://t.co/FMUxir5pYu
706681918348251136,3152,922,,Original tweet,https://t.co/CFPIcGcwJv
706644897839910912,2443,1035,,Original tweet,https://t.co/cdOkfEpjFw
706593038911545345,2061,600,,Original tweet,https://t.co/6aJrjKfNqX
706538006853918722,3323,1356,,Original tweet,https://t.co/bxjO45rXKd
706516534877929472,2984,973,,Original tweet,https://t.co/KUS0xl7XIp
706346369204748288,3288,877,,Original tweet,https://t.co/VZV6oMJmU6
706310011488698368,20298,7459,,Original tweet,https://t.co/GGmcTIkBbf
706291001778950144,1630,451,,Original tweet,https://t.co/qy33OBcexg
706265994973601792,2609,880,,Original tweet,https://t.co/lA6a8GefrV
706169069255446529,3731,2095,,Original tweet,https://t.co/WN4C6miCzR
706166467411222528,4915,1514,,Original tweet,https://t.co/sA7P3JSqiv
706153300320784384,1411,362,,Original tweet,https://t.co/KxYXHUHUi2
705975130514706432,2964,689,,Original tweet,https://t.co/cfn81n3FLO
705970349788291072,3036,841,,Original tweet,https://t.co/8tjnz1L8DI
705898680587526145,2270,525,,Original tweet,https://t.co/c67nUjwmFs
705786532653883392,1847,489,,Original tweet,https://t.co/xwPE9faVZR
705591895322394625,3025,1084,,Original tweet,https://t.co/nPTBsdm3BF
705475953783398401,2836,865,,Original tweet,https://t.co/zQUuVu812n
705442520700944385,4201,1520,,Original tweet,https://t.co/EEIkAGVY64
705428427625635840,3635,1583,,Original tweet,https://t.co/ih6epBOxIA
705239209544720384,2862,713,,Original tweet,https://t.co/wnsblfu7XE
705223444686888960,2473,755,,Original tweet,https://t.co/YMkxhGWUqv
705102439679201280,2047,490,,Original tweet,https://t.co/Pg18CDFC7Z
705066031337840642,2088,578,,Original tweet,https://t.co/VA6jnNUyuW
704871453724954624,4080,1059,,Original tweet,https://t.co/mIQ1KoVsmU
704859558691414016,2152,498,,Original tweet,https://t.co/81mvJ0rGRu
704847917308362754,4848,1431,,Original tweet,https://t.co/kQPVxqA3gq
704819833553219584,2524,924,,Original tweet,https://t.co/EatAd8JhyW
704761120771465216,6348,2756,,Original tweet,https://t.co/Lu0ECu5tO5
704499785726889984,2776,947,,Original tweet,https://t.co/dlF93GLnDc
704491224099647488,714,74,,Original tweet,C
704480331685040129,3250,1018,,Original tweet,https://t.co/qv6qlEUCEe
704364645503647744,7618,3358,,Original tweet,https://t.co/5zX5XD3i6K
704347321748819968,1505,330,,Original tweet,https://t.co/INphk4ltkZ
704134088924532736,1437,431,,Original tweet,https://t.co/h5aI0Tim4j
704113298707505153,1777,542,,Original tweet,https://t.co/XpYMBQ1FD8
704054845121142784,2794,871,,Original tweet,https://t.co/9dpcw6MdWa
